"","obs","state"
"121",8,"State_3"
"122",4,"State_3"
"123",7,"State_3"
"124",17,"State_3"
"125",6,"State_3"
"126",12,"State_3"
"127",4,"State_3"
"128",2,"State_1"
"129",2,"State_1"
"130",1,"State_1"
"131",2,"State_1"
"132",0,"State_1"
"133",0,"State_1"
"134",0,"State_1"
"135",0,"State_1"
"136",21,"State_2"
"137",0,"State_1"
"138",1,"State_1"
"139",0,"State_1"
"140",1,"State_1"
"141",3,"State_1"
"142",2,"State_1"
"143",1,"State_1"
"144",12,"State_3"
"145",6,"State_3"
"146",8,"State_3"
"147",4,"State_3"
"148",8,"State_3"
"149",6,"State_3"
"150",9,"State_3"
"151",8,"State_3"
"152",8,"State_3"
"153",5,"State_3"
"154",11,"State_3"
"155",5,"State_3"
"156",9,"State_3"
"157",5,"State_3"
"158",8,"State_3"
"159",11,"State_3"
"160",6,"State_3"
"161",14,"State_3"
"162",5,"State_3"
"163",13,"State_3"
"164",8,"State_3"
"165",7,"State_3"
"166",11,"State_3"
"167",4,"State_3"
"168",5,"State_3"
"169",8,"State_3"
"170",2,"State_1"
"171",3,"State_1"
"172",2,"State_1"
"173",0,"State_1"
"174",2,"State_1"
"175",1,"State_1"
"176",1,"State_1"
"177",0,"State_1"
"178",1,"State_1"
"179",13,"State_3"
"180",14,"State_3"
"181",7,"State_3"
"182",6,"State_3"
"183",14,"State_3"
"184",11,"State_3"
"185",11,"State_3"
"186",8,"State_3"
"187",6,"State_3"
"188",7,"State_3"
"189",0,"State_1"
"190",1,"State_1"
"191",3,"State_1"
"192",1,"State_1"
"193",0,"State_1"
"194",1,"State_1"
"195",2,"State_1"
"196",1,"State_1"
"197",0,"State_1"
"198",2,"State_1"
"199",0,"State_1"
"200",1,"State_1"
"201",10,"State_3"
"202",8,"State_3"
"203",8,"State_3"
"204",10,"State_3"
"205",5,"State_3"
"206",7,"State_3"
"207",11,"State_3"
"208",8,"State_3"
"209",12,"State_3"
"210",9,"State_3"
"211",7,"State_3"
"212",8,"State_3"
"213",8,"State_3"
"214",9,"State_3"
"215",7,"State_3"
"216",4,"State_3"
"217",10,"State_3"
"218",6,"State_3"
"219",14,"State_3"
"220",2,"State_1"
"221",0,"State_1"
"222",1,"State_1"
"223",1,"State_1"
"224",0,"State_1"
"225",13,"State_3"
"226",8,"State_3"
"227",0,"State_1"
"228",1,"State_1"
"229",1,"State_1"
"230",2,"State_1"
"231",1,"State_1"
"232",2,"State_1"
"233",6,"State_3"
"234",8,"State_3"
"235",9,"State_3"
"236",8,"State_3"
"237",18,"State_2"
"238",30,"State_2"
"239",21,"State_2"
"240",20,"State_2"
"241",25,"State_2"
"242",26,"State_2"
"243",8,"State_2"
"244",3,"State_3"
"245",10,"State_3"
"246",6,"State_3"
"247",7,"State_3"
"248",7,"State_3"
"249",9,"State_3"
"250",7,"State_3"
"251",6,"State_3"
"252",7,"State_3"
"253",6,"State_3"
"254",10,"State_3"
"255",5,"State_3"
"256",5,"State_3"
"257",7,"State_3"
"258",7,"State_3"
"259",7,"State_3"
"260",12,"State_3"
"261",12,"State_3"
"262",6,"State_3"
"263",5,"State_3"
"264",8,"State_3"
"265",10,"State_3"
"266",1,"State_1"
"267",3,"State_1"
"268",0,"State_1"
"269",2,"State_1"
"270",0,"State_1"
"271",1,"State_1"
"272",0,"State_1"
"273",0,"State_1"
"274",1,"State_1"
"275",0,"State_1"
"276",1,"State_1"
"277",1,"State_1"
"278",0,"State_1"
"279",0,"State_1"
"280",0,"State_1"
"281",1,"State_1"
"282",3,"State_1"
"283",2,"State_1"
"284",1,"State_1"
"285",2,"State_1"
"286",1,"State_1"
"287",2,"State_1"
"288",3,"State_1"
"289",1,"State_1"
"290",1,"State_1"
"291",0,"State_1"
"292",0,"State_1"
"293",1,"State_1"
"294",1,"State_1"
"295",2,"State_1"
"296",0,"State_1"
"297",0,"State_1"
"298",8,"State_3"
"299",4,"State_3"
"300",6,"State_3"
"301",5,"State_3"
"302",9,"State_3"
"303",2,"State_1"
"304",0,"State_1"
"305",0,"State_1"
"306",0,"State_1"
"307",1,"State_1"
"308",0,"State_1"
"309",0,"State_1"
"310",1,"State_1"
"311",3,"State_1"
"312",1,"State_1"
"313",0,"State_1"
"314",1,"State_1"
"315",2,"State_1"
"316",0,"State_1"
"317",0,"State_1"
"318",4,"State_1"
"319",4,"State_3"
"320",11,"State_3"
"321",7,"State_3"
"322",10,"State_3"
"323",9,"State_3"
"324",6,"State_3"
"325",11,"State_3"
"326",9,"State_3"
"327",10,"State_3"
"328",10,"State_3"
"329",11,"State_3"
"330",6,"State_3"
"331",14,"State_3"
"332",10,"State_3"
"333",3,"State_3"
"334",10,"State_3"
"335",3,"State_3"
"336",10,"State_3"
"337",5,"State_3"
"338",10,"State_3"
"339",12,"State_3"
"340",8,"State_3"
"341",4,"State_3"
"342",8,"State_3"
"343",5,"State_3"
"344",10,"State_3"
"345",7,"State_3"
"346",10,"State_3"
"347",10,"State_3"
"348",6,"State_3"
"349",10,"State_3"
"350",10,"State_3"
"351",13,"State_3"
"352",14,"State_3"
"353",7,"State_3"
"354",8,"State_3"
"355",12,"State_3"
"356",5,"State_3"
"357",5,"State_3"
"358",9,"State_3"
"359",8,"State_3"
"360",6,"State_3"
"361",10,"State_3"
"362",9,"State_3"
"363",4,"State_3"
"364",8,"State_3"
"365",6,"State_3"
"366",7,"State_3"
"367",10,"State_3"
"368",2,"State_1"
"369",2,"State_1"
"370",2,"State_1"
"371",0,"State_1"
"372",0,"State_1"
"373",0,"State_1"
"374",2,"State_1"
"375",2,"State_1"
"376",1,"State_1"
"377",1,"State_1"
"378",5,"State_3"
"379",13,"State_3"
"380",4,"State_3"
"381",9,"State_3"
"382",9,"State_3"
"383",10,"State_3"
"384",9,"State_3"
"385",26,"State_2"
"386",22,"State_2"
"387",6,"State_3"
"388",12,"State_3"
"389",9,"State_3"
"390",7,"State_3"
"391",7,"State_3"
"392",9,"State_3"
"393",5,"State_3"
"394",14,"State_3"
"395",10,"State_3"
"396",10,"State_3"
"397",11,"State_3"
"398",9,"State_3"
"399",4,"State_3"
"400",7,"State_3"
"401",10,"State_3"
"402",8,"State_3"
"403",7,"State_3"
"404",7,"State_3"
"405",5,"State_3"
"406",10,"State_3"
"407",0,"State_1"
"408",0,"State_1"
"409",1,"State_1"
"410",1,"State_1"
"411",0,"State_1"
"412",0,"State_1"
"413",0,"State_1"
"414",8,"State_3"
"415",11,"State_3"
"416",8,"State_3"
"417",5,"State_3"
"418",3,"State_3"
"419",7,"State_3"
"420",7,"State_3"
"421",3,"State_1"
"422",0,"State_1"
"423",1,"State_1"
"424",0,"State_1"
"425",2,"State_1"
"426",1,"State_1"
"427",9,"State_3"
"428",4,"State_3"
"429",6,"State_3"
"430",10,"State_3"
"431",12,"State_3"
"432",12,"State_3"
"433",6,"State_3"
"434",3,"State_3"
"435",10,"State_3"
"436",8,"State_3"
"437",7,"State_3"
"438",8,"State_3"
"439",4,"State_3"
"440",6,"State_3"
"441",6,"State_3"
"442",9,"State_3"
"443",18,"State_2"
"444",16,"State_2"
"445",17,"State_2"
"446",21,"State_2"
"447",28,"State_2"
"448",30,"State_2"
"449",19,"State_2"
"450",14,"State_2"
"451",9,"State_3"
"452",6,"State_3"
"453",7,"State_3"
"454",7,"State_3"
"455",11,"State_3"
"456",12,"State_3"
"457",7,"State_3"
"458",6,"State_3"
"459",6,"State_3"
"460",11,"State_3"
"461",8,"State_3"
"462",12,"State_3"
"463",8,"State_3"
"464",5,"State_3"
"465",5,"State_3"
"466",13,"State_3"
"467",10,"State_3"
"468",8,"State_3"
"469",7,"State_3"
"470",12,"State_3"
"471",7,"State_3"
"472",7,"State_3"
"473",13,"State_3"
"474",10,"State_3"
"475",15,"State_3"
"476",7,"State_3"
"477",12,"State_3"
"478",8,"State_3"
"479",8,"State_3"
"480",15,"State_3"
"481",7,"State_3"
"482",1,"State_1"
"483",10,"State_3"
"484",12,"State_3"
"485",11,"State_3"
"486",12,"State_3"
"487",0,"State_1"
"488",1,"State_1"
"489",4,"State_1"
"490",0,"State_1"
"491",3,"State_1"
"492",3,"State_1"
"493",8,"State_3"
"494",11,"State_3"
"495",10,"State_3"
"496",3,"State_3"
"497",10,"State_3"
"498",20,"State_2"
"499",24,"State_2"
"500",19,"State_2"
"501",16,"State_2"
"502",16,"State_2"
"503",15,"State_2"
"504",27,"State_2"
"505",15,"State_2"
"506",19,"State_2"
"507",17,"State_2"
"508",29,"State_2"
"509",23,"State_2"
"510",0,"State_1"
"511",2,"State_1"
"512",0,"State_1"
"513",1,"State_1"
"514",1,"State_1"
"515",1,"State_1"
"516",1,"State_1"
"517",2,"State_1"
"518",1,"State_1"
"519",2,"State_1"
"520",1,"State_1"
"521",1,"State_1"
"522",1,"State_1"
"523",3,"State_1"
"524",1,"State_1"
"525",1,"State_1"
"526",0,"State_1"
"527",7,"State_3"
"528",4,"State_3"
"529",6,"State_3"
"530",7,"State_3"
"531",8,"State_3"
"532",10,"State_3"
"533",10,"State_3"
"534",14,"State_3"
"535",8,"State_3"
"536",6,"State_3"
"537",0,"State_1"
"538",0,"State_1"
"539",0,"State_1"
"540",13,"State_3"
"541",8,"State_3"
"542",9,"State_3"
"543",6,"State_3"
"544",16,"State_3"
"545",3,"State_3"
"546",10,"State_3"
"547",13,"State_3"
"548",6,"State_3"
"549",7,"State_3"
"550",6,"State_3"
"551",4,"State_3"
"552",7,"State_3"
"553",4,"State_3"
"554",9,"State_3"
"555",3,"State_3"
"556",4,"State_3"
"557",11,"State_3"
"558",8,"State_3"
"559",6,"State_3"
"560",7,"State_3"
"561",6,"State_3"
"562",18,"State_3"
"563",7,"State_3"
"564",5,"State_3"
"565",13,"State_3"
"566",5,"State_3"
"567",1,"State_1"
"568",11,"State_3"
"569",14,"State_3"
"570",8,"State_3"
"571",6,"State_3"
"572",10,"State_3"
"573",10,"State_3"
"574",2,"State_3"
"575",7,"State_3"
"576",7,"State_3"
"577",7,"State_3"
"578",14,"State_3"
"579",6,"State_3"
"580",10,"State_3"
"581",15,"State_3"
"582",13,"State_3"
"583",9,"State_3"
"584",5,"State_3"
"585",6,"State_3"
"586",9,"State_3"
"587",10,"State_3"
"588",20,"State_2"
"589",16,"State_2"
"590",19,"State_2"
"591",1,"State_1"
"592",1,"State_1"
"593",18,"State_2"
"594",6,"State_2"
"595",15,"State_2"
"596",21,"State_2"
"597",22,"State_2"
"598",23,"State_2"
"599",17,"State_2"
"600",26,"State_2"
"601",22,"State_2"
"602",23,"State_2"
"603",19,"State_2"
"604",1,"State_1"
"605",1,"State_1"
"606",0,"State_1"
"607",2,"State_1"
"608",10,"State_3"
"609",8,"State_3"
"610",9,"State_3"
"611",6,"State_3"
"612",9,"State_3"
"613",9,"State_3"
"614",8,"State_3"
"615",10,"State_3"
"616",7,"State_3"
"617",7,"State_3"
"618",12,"State_3"
"619",4,"State_3"
"620",8,"State_3"
"621",10,"State_3"
"622",13,"State_3"
"623",19,"State_3"
"624",5,"State_3"
"625",9,"State_3"
"626",7,"State_3"
"627",2,"State_3"
"628",7,"State_3"
"629",8,"State_3"
"630",10,"State_3"
"631",10,"State_3"
"632",9,"State_3"
"633",6,"State_3"
"634",5,"State_3"
"635",5,"State_3"
"636",8,"State_3"
"637",8,"State_3"
"638",2,"State_3"
"639",12,"State_3"
"640",1,"State_1"
"641",1,"State_1"
"642",2,"State_1"
"643",0,"State_1"
"644",1,"State_1"
"645",0,"State_1"
"646",0,"State_1"
"647",1,"State_1"
"648",1,"State_1"
"649",1,"State_1"
"650",1,"State_1"
"651",1,"State_1"
"652",1,"State_1"
"653",1,"State_1"
"654",0,"State_1"
"655",0,"State_1"
"656",26,"State_2"
"657",17,"State_2"
"658",20,"State_2"
"659",25,"State_2"
"660",17,"State_2"
"661",16,"State_2"
"662",12,"State_2"
"663",21,"State_2"
"664",28,"State_2"
"665",26,"State_2"
"666",16,"State_2"
"667",20,"State_2"
"668",22,"State_2"
"669",22,"State_2"
"670",20,"State_2"
"671",23,"State_2"
"672",1,"State_1"
"673",1,"State_1"
"674",0,"State_1"
"675",2,"State_1"
"676",1,"State_1"
"677",19,"State_2"
"678",18,"State_2"
"679",25,"State_2"
"680",16,"State_2"
"681",8,"State_3"
"682",16,"State_3"
"683",9,"State_3"
"684",8,"State_3"
"685",10,"State_3"
"686",10,"State_3"
"687",8,"State_3"
"688",7,"State_3"
"689",4,"State_3"
"690",9,"State_3"
"691",17,"State_2"
"692",23,"State_2"
"693",22,"State_2"
"694",26,"State_2"
"695",25,"State_2"
"696",29,"State_2"
"697",21,"State_2"
"698",23,"State_2"
"699",28,"State_2"
"700",0,"State_1"
"701",2,"State_1"
"702",5,"State_3"
"703",8,"State_3"
"704",10,"State_3"
"705",6,"State_3"
"706",3,"State_3"
"707",12,"State_3"
"708",9,"State_3"
"709",6,"State_3"
"710",9,"State_3"
"711",6,"State_3"
"712",7,"State_3"
"713",10,"State_3"
"714",13,"State_3"
"715",11,"State_3"
"716",3,"State_3"
"717",4,"State_3"
"718",8,"State_3"
"719",11,"State_3"
"720",7,"State_3"
"721",8,"State_3"
"722",6,"State_3"
"723",7,"State_3"
"724",7,"State_3"
"725",11,"State_3"
"726",6,"State_3"
"727",9,"State_3"
"728",8,"State_3"
"729",6,"State_3"
"730",3,"State_3"
"731",16,"State_3"
"732",7,"State_3"
"733",8,"State_3"
"734",1,"State_1"
"735",1,"State_1"
"736",1,"State_1"
"737",1,"State_1"
"738",0,"State_1"
"739",4,"State_1"
"740",1,"State_1"
"741",0,"State_1"
"742",0,"State_1"
"743",0,"State_1"
"744",0,"State_1"
"745",0,"State_1"
"746",8,"State_3"
"747",4,"State_3"
"748",7,"State_3"
"749",11,"State_3"
"750",6,"State_3"
"751",11,"State_3"
"752",3,"State_3"
"753",12,"State_3"
"754",6,"State_3"
"755",11,"State_3"
"756",5,"State_3"
"757",4,"State_3"
"758",12,"State_3"
"759",5,"State_3"
"760",14,"State_3"
"761",11,"State_3"
"762",10,"State_3"
"763",6,"State_3"
"764",7,"State_3"
"765",7,"State_3"
"766",10,"State_3"
"767",9,"State_3"
"768",9,"State_3"
"769",11,"State_3"
"770",6,"State_3"
"771",8,"State_3"
"772",11,"State_3"
"773",7,"State_3"
"774",9,"State_3"
"775",4,"State_3"
"776",4,"State_3"
"777",2,"State_3"
"778",9,"State_3"
"779",0,"State_1"
"780",8,"State_3"
"781",4,"State_3"
"782",3,"State_3"
"783",6,"State_3"
"784",6,"State_3"
"785",8,"State_3"
"786",11,"State_3"
"787",7,"State_3"
"788",10,"State_3"
"789",6,"State_3"
"790",9,"State_3"
"791",4,"State_3"
"792",7,"State_3"
"793",8,"State_3"
"794",8,"State_3"
"795",10,"State_3"
"796",10,"State_3"
"797",5,"State_3"
"798",2,"State_1"
"799",0,"State_1"
"800",0,"State_1"
"801",0,"State_1"
"802",1,"State_1"
"803",2,"State_1"
"804",0,"State_1"
"805",0,"State_1"
"806",7,"State_3"
"807",10,"State_3"
"808",2,"State_3"
"809",4,"State_3"
"810",10,"State_3"
"811",8,"State_3"
"812",11,"State_3"
"813",8,"State_3"
"814",5,"State_3"
"815",6,"State_3"
"816",6,"State_3"
"817",9,"State_3"
"818",8,"State_3"
"819",10,"State_3"
"820",11,"State_3"
"821",11,"State_3"
"822",11,"State_3"
"823",12,"State_3"
"824",6,"State_3"
"825",12,"State_3"
"826",7,"State_3"
"827",7,"State_3"
"828",9,"State_3"
"829",13,"State_3"
"830",0,"State_1"
"831",1,"State_1"
"832",8,"State_3"
"833",8,"State_3"
"834",6,"State_3"
"835",7,"State_3"
"836",19,"State_3"
"837",9,"State_3"
"838",7,"State_3"
"839",8,"State_3"
"840",10,"State_3"
"841",7,"State_3"
"842",11,"State_3"
"843",6,"State_3"
"844",5,"State_3"
"845",4,"State_3"
"846",7,"State_3"
"847",7,"State_3"
"848",21,"State_2"
"849",15,"State_2"
"850",34,"State_2"
"851",20,"State_2"
"852",20,"State_2"
"853",25,"State_2"
"854",14,"State_2"
"855",17,"State_2"
"856",7,"State_3"
"857",9,"State_3"
"858",10,"State_3"
"859",8,"State_3"
"860",10,"State_3"
"861",14,"State_2"
"862",1,"State_1"
"863",0,"State_1"
"864",2,"State_1"
"865",0,"State_1"
"866",1,"State_1"
"867",0,"State_1"
"868",0,"State_1"
"869",7,"State_3"
"870",5,"State_3"
"871",8,"State_3"
"872",8,"State_3"
"873",8,"State_3"
"874",3,"State_1"
"875",2,"State_1"
"876",1,"State_1"
"877",0,"State_1"
"878",1,"State_1"
"879",0,"State_1"
"880",1,"State_1"
"881",0,"State_1"
"882",0,"State_1"
"883",2,"State_1"
"884",0,"State_1"
"885",15,"State_3"
"886",5,"State_3"
"887",6,"State_3"
"888",4,"State_3"
"889",4,"State_3"
"890",10,"State_3"
"891",7,"State_3"
"892",8,"State_3"
"893",11,"State_3"
"894",23,"State_2"
"895",17,"State_2"
"896",19,"State_2"
"897",22,"State_2"
"898",18,"State_2"
"899",18,"State_2"
"900",19,"State_2"
"901",19,"State_2"
"902",26,"State_2"
"903",14,"State_2"
"904",22,"State_2"
"905",21,"State_2"
"906",29,"State_2"
"907",22,"State_2"
"908",11,"State_3"
"909",10,"State_3"
"910",4,"State_3"
"911",5,"State_3"
"912",9,"State_3"
"913",10,"State_3"
"914",5,"State_3"
"915",4,"State_3"
"916",11,"State_3"
"917",9,"State_3"
"918",12,"State_3"
"919",15,"State_3"
"920",7,"State_3"
"921",9,"State_3"
"922",8,"State_3"
"923",11,"State_3"
"924",6,"State_3"
"925",14,"State_3"
"926",13,"State_3"
"927",6,"State_3"
"928",7,"State_3"
"929",6,"State_3"
"930",8,"State_3"
"931",7,"State_3"
"932",10,"State_3"
"933",11,"State_3"
"934",9,"State_3"
"935",10,"State_3"
"936",9,"State_3"
"937",6,"State_3"
"938",8,"State_3"
"939",10,"State_3"
"940",7,"State_3"
"941",3,"State_3"
"942",2,"State_3"
"943",8,"State_3"
"944",3,"State_3"
"945",9,"State_3"
"946",8,"State_3"
"947",6,"State_3"
"948",7,"State_3"
"949",9,"State_3"
"950",9,"State_3"
"951",23,"State_2"
"952",15,"State_2"
"953",20,"State_2"
"954",18,"State_2"
"955",17,"State_2"
"956",3,"State_1"
"957",1,"State_1"
"958",3,"State_1"
"959",0,"State_1"
"960",2,"State_1"
"961",0,"State_1"
"962",1,"State_1"
"963",0,"State_1"
"964",9,"State_3"
"965",9,"State_3"
"966",12,"State_3"
"967",5,"State_3"
"968",8,"State_3"
"969",6,"State_3"
"970",5,"State_3"
"971",12,"State_3"
"972",8,"State_3"
"973",13,"State_3"
"974",11,"State_3"
"975",12,"State_3"
"976",5,"State_3"
"977",5,"State_3"
"978",23,"State_2"
"979",19,"State_2"
"980",1,"State_1"
"981",0,"State_1"
"982",3,"State_1"
"983",0,"State_1"
"984",0,"State_1"
"985",0,"State_1"
"986",0,"State_1"
"987",2,"State_1"
"988",28,"State_2"
"989",24,"State_2"
"990",27,"State_2"
"991",1,"State_1"
"992",0,"State_1"
"993",1,"State_1"
"994",0,"State_1"
"995",1,"State_1"
"996",1,"State_1"
"997",2,"State_1"
"998",0,"State_1"
"999",5,"State_3"
"1000",7,"State_3"
"1001",13,"State_3"
"1002",6,"State_3"
"1003",9,"State_3"
"1004",15,"State_3"
"1005",5,"State_3"
"1006",5,"State_3"
"1007",6,"State_3"
"1008",15,"State_3"
"1009",7,"State_3"
"1010",9,"State_3"
"1011",10,"State_3"
"1012",11,"State_3"
"1013",20,"State_2"
"1014",23,"State_2"
"1015",30,"State_2"
"1016",17,"State_2"
"1017",14,"State_2"
"1018",17,"State_2"
"1019",21,"State_2"
"1020",16,"State_2"
"1021",11,"State_3"
"1022",4,"State_3"
"1023",6,"State_3"
"1024",9,"State_3"
"1025",5,"State_3"
"1026",7,"State_3"
"1027",9,"State_3"
"1028",5,"State_3"
"1029",7,"State_3"
"1030",3,"State_3"
"1031",12,"State_3"
"1032",12,"State_3"
"1033",9,"State_3"
"1034",7,"State_3"
"1035",7,"State_3"
"1036",12,"State_3"
"1037",16,"State_2"
"1038",28,"State_2"
"1039",24,"State_2"
"1040",20,"State_2"
"1041",22,"State_2"
"1042",7,"State_3"
"1043",10,"State_3"
"1044",8,"State_3"
"1045",1,"State_1"
"1046",0,"State_1"
"1047",3,"State_1"
"1048",2,"State_1"
"1049",8,"State_3"
"1050",7,"State_3"
"1051",12,"State_3"
"1052",7,"State_3"
"1053",12,"State_3"
"1054",8,"State_3"
"1055",7,"State_3"
"1056",4,"State_3"
"1057",3,"State_3"
"1058",12,"State_3"
"1059",10,"State_3"
"1060",1,"State_1"
"1061",0,"State_1"
"1062",2,"State_1"
"1063",0,"State_1"
"1064",5,"State_3"
"1065",8,"State_3"
"1066",10,"State_3"
"1067",10,"State_3"
"1068",10,"State_3"
"1069",11,"State_3"
"1070",8,"State_3"
"1071",5,"State_3"
"1072",9,"State_3"
"1073",4,"State_3"
"1074",5,"State_3"
"1075",1,"State_3"
"1076",9,"State_3"
"1077",7,"State_3"
"1078",8,"State_3"
"1079",11,"State_3"
"1080",3,"State_3"
"1081",4,"State_3"
"1082",9,"State_3"
"1083",5,"State_3"
"1084",1,"State_3"
"1085",6,"State_3"
"1086",10,"State_3"
"1087",9,"State_3"
"1088",1,"State_1"
"1089",1,"State_1"
"1090",1,"State_1"
"1091",0,"State_1"
"1092",9,"State_3"
"1093",9,"State_3"
"1094",8,"State_3"
"1095",9,"State_3"
"1096",8,"State_3"
"1097",8,"State_3"
"1098",4,"State_3"
"1099",9,"State_3"
"1100",3,"State_3"
"1101",9,"State_3"
"1102",11,"State_3"
"1103",4,"State_3"
"1104",0,"State_1"
"1105",5,"State_3"
"1106",4,"State_3"
"1107",4,"State_3"
"1108",26,"State_2"
"1109",26,"State_2"
"1110",16,"State_2"
"1111",20,"State_2"
"1112",23,"State_2"
"1113",15,"State_2"
"1114",20,"State_2"
"1115",23,"State_2"
"1116",15,"State_2"
"1117",22,"State_2"
"1118",12,"State_2"
"1119",23,"State_2"
"1120",24,"State_2"
"1121",22,"State_2"
"1122",19,"State_2"
"1123",23,"State_2"
"1124",22,"State_2"
"1125",14,"State_2"
"1126",16,"State_2"
"1127",19,"State_2"
"1128",16,"State_2"
"1129",30,"State_2"
"1130",24,"State_2"
"1131",14,"State_2"
"1132",11,"State_2"
"1133",19,"State_2"
"1134",1,"State_1"
"1135",1,"State_1"
"1136",2,"State_1"
"1137",3,"State_1"
"1138",0,"State_1"
"1139",1,"State_1"
"1140",0,"State_1"
"1141",1,"State_1"
"1142",1,"State_1"
"1143",5,"State_3"
"1144",10,"State_3"
"1145",13,"State_3"
"1146",7,"State_3"
"1147",1,"State_1"
"1148",3,"State_1"
"1149",2,"State_1"
"1150",11,"State_3"
"1151",8,"State_3"
"1152",9,"State_3"
"1153",7,"State_3"
"1154",4,"State_3"
"1155",8,"State_3"
"1156",9,"State_3"
"1157",10,"State_3"
"1158",8,"State_3"
"1159",9,"State_3"
"1160",12,"State_3"
"1161",8,"State_3"
"1162",18,"State_2"
"1163",22,"State_2"
"1164",5,"State_3"
"1165",9,"State_3"
"1166",7,"State_3"
"1167",6,"State_3"
"1168",11,"State_3"
"1169",5,"State_3"
"1170",8,"State_3"
"1171",9,"State_3"
"1172",25,"State_2"
"1173",18,"State_2"
"1174",26,"State_2"
"1175",21,"State_2"
"1176",19,"State_2"
"1177",15,"State_2"
"1178",1,"State_1"
"1179",1,"State_1"
"1180",3,"State_1"
"1181",0,"State_1"
"1182",0,"State_1"
"1183",1,"State_1"
"1184",2,"State_1"
"1185",1,"State_1"
"1186",2,"State_1"
"1187",2,"State_1"
"1188",0,"State_1"
"1189",1,"State_1"
"1190",1,"State_1"
"1191",2,"State_1"
"1192",5,"State_3"
"1193",7,"State_3"
"1194",8,"State_3"
"1195",4,"State_3"
"1196",4,"State_3"
"1197",6,"State_3"
"1198",5,"State_3"
"1199",5,"State_3"
"1200",10,"State_3"
"1201",7,"State_3"
"1202",6,"State_3"
"1203",5,"State_3"
"1204",6,"State_3"
"1205",9,"State_3"
"1206",5,"State_3"
"1207",10,"State_3"
"1208",8,"State_3"
"1209",3,"State_3"
"1210",9,"State_3"
"1211",8,"State_3"
"1212",6,"State_3"
"1213",12,"State_3"
"1214",11,"State_3"
"1215",13,"State_3"
"1216",9,"State_3"
"1217",13,"State_3"
"1218",12,"State_3"
"1219",5,"State_3"
"1220",0,"State_1"
"1221",0,"State_1"
"1222",10,"State_3"
"1223",8,"State_3"
"1224",6,"State_3"
"1225",10,"State_3"
"1226",6,"State_3"
"1227",8,"State_3"
"1228",4,"State_3"
"1229",9,"State_3"
"1230",4,"State_3"
"1231",13,"State_3"
"1232",11,"State_3"
"1233",9,"State_3"
"1234",10,"State_3"
"1235",8,"State_3"
"1236",10,"State_3"
"1237",8,"State_3"
"1238",7,"State_3"
"1239",10,"State_3"
"1240",8,"State_3"
"1241",7,"State_3"
"1242",6,"State_3"
"1243",6,"State_3"
"1244",3,"State_3"
"1245",13,"State_3"
"1246",11,"State_3"
"1247",8,"State_3"
"1248",3,"State_3"
